21:09:06.261779 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [S], seq 2412291814, win 42340, options [mss 1460,sackOK,TS val 4187278506 ecr 0,nop,wscale 9], length 0
21:09:06.265707 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [.], ack 1, win 83, options [nop,nop,TS val 4187278532 ecr 273760428], length 0
21:09:06.265946 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1:2897, ack 1, win 83, options [nop,nop,TS val 4187278532 ecr 273760428], length 2896
21:09:06.266068 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 2897:5793, ack 1, win 83, options [nop,nop,TS val 4187278533 ecr 273760428], length 2896
21:09:06.266155 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 5793:8689, ack 1, win 83, options [nop,nop,TS val 4187278533 ecr 273760428], length 2896
21:09:06.266240 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 8689:11585, ack 1, win 83, options [nop,nop,TS val 4187278533 ecr 273760428], length 2896
21:09:06.266328 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 11585:14481, ack 1, win 83, options [nop,nop,TS val 4187278533 ecr 273760428], length 2896
21:09:06.270887 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 14481:17377, ack 1, win 83, options [nop,nop,TS val 4187278537 ecr 273760431], length 2896
21:09:06.270895 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 17377:20273, ack 1, win 83, options [nop,nop,TS val 4187278537 ecr 273760431], length 2896
21:09:06.272760 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 20273:23169, ack 1, win 83, options [nop,nop,TS val 4187278539 ecr 273760436], length 2896
21:09:06.272844 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 23169:26065, ack 1, win 83, options [nop,nop,TS val 4187278539 ecr 273760436], length 2896
21:09:06.273591 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [.], ack 1, win 83, options [nop,nop,TS val 4187278540 ecr 273760438], length 0
21:09:06.275873 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 26065:28961, ack 1, win 83, options [nop,nop,TS val 4187278539 ecr 273760436], length 2896
21:09:06.275880 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 28961:31857, ack 1, win 83, options [nop,nop,TS val 4187278539 ecr 273760436], length 2896
21:09:06.276104 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 31857:34753, ack 1, win 83, options [nop,nop,TS val 4187278543 ecr 273760441], length 2896
21:09:06.276112 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 34753:36201, ack 1, win 83, options [nop,nop,TS val 4187278543 ecr 273760441], length 1448
21:09:06.276120 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 36201:40545, ack 1, win 83, options [nop,nop,TS val 4187278543 ecr 273760441], length 4344
21:09:06.276415 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 40545:44889, ack 1, win 83, options [nop,nop,TS val 4187278543 ecr 273760442], length 4344
21:09:06.276423 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 44889:50681, ack 1, win 83, options [nop,nop,TS val 4187278543 ecr 273760442], length 5792
21:09:06.276430 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 50681:56473, ack 1, win 83, options [nop,nop,TS val 4187278543 ecr 273760442], length 5792
21:09:06.276744 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 56473:57921, ack 1, win 83, options [nop,nop,TS val 4187278543 ecr 273760442], length 1448
21:09:06.276752 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 57921:68057, ack 1, win 83, options [nop,nop,TS val 4187278543 ecr 273760442], length 10136
21:09:06.276759 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 68057:78193, ack 1, win 83, options [nop,nop,TS val 4187278543 ecr 273760442], length 10136
21:09:06.277190 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 78193:79641, ack 1, win 83, options [nop,nop,TS val 4187278544 ecr 273760442], length 1448
21:09:06.277198 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 79641:91225, ack 1, win 83, options [nop,nop,TS val 4187278544 ecr 273760442], length 11584
21:09:06.277205 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 91225:101361, ack 1, win 83, options [nop,nop,TS val 4187278544 ecr 273760442], length 10136
21:09:06.277490 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 101361:112945, ack 1, win 83, options [nop,nop,TS val 4187278544 ecr 273760443], length 11584
21:09:06.277497 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 112945:123081, ack 1, win 83, options [nop,nop,TS val 4187278544 ecr 273760443], length 10136
21:09:06.277643 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 123081:131073, ack 1, win 83, options [nop,nop,TS val 4187278544 ecr 273760443], length 7992
21:09:07.265990 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 131073:138313, ack 1, win 83, options [nop,nop,TS val 4187279532 ecr 273760445], length 7240
21:09:07.266202 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 138313:145553, ack 1, win 83, options [nop,nop,TS val 4187279533 ecr 273760445], length 7240
21:09:07.266391 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 145553:155689, ack 1, win 83, options [nop,nop,TS val 4187279533 ecr 273761431], length 10136
21:09:07.266483 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 155689:160033, ack 1, win 83, options [nop,nop,TS val 4187279533 ecr 273761431], length 4344
21:09:07.266623 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 160033:174513, ack 1, win 83, options [nop,nop,TS val 4187279533 ecr 273761432], length 14480
21:09:07.266772 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 174513:184649, ack 1, win 83, options [nop,nop,TS val 4187279533 ecr 273761432], length 10136
21:09:07.266863 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 184649:212161, ack 1, win 83, options [nop,nop,TS val 4187279533 ecr 273761432], length 27512
21:09:07.266943 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 212161:223745, ack 1, win 83, options [nop,nop,TS val 4187279533 ecr 273761432], length 11584
21:09:07.267019 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 223745:229537, ack 1, win 83, options [nop,nop,TS val 4187279533 ecr 273761432], length 5792
21:09:07.267190 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 229537:258497, ack 1, win 83, options [nop,nop,TS val 4187279534 ecr 273761432], length 28960
21:09:07.267289 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 258497:262145, ack 1, win 83, options [nop,nop,TS val 4187279534 ecr 273761432], length 3648
21:09:08.265971 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 262145:269385, ack 1, win 83, options [nop,nop,TS val 4187280532 ecr 273761433], length 7240
21:09:08.266155 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 269385:276625, ack 1, win 83, options [nop,nop,TS val 4187280533 ecr 273761433], length 7240
21:09:08.266331 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 276625:286761, ack 1, win 83, options [nop,nop,TS val 4187280533 ecr 273762431], length 10136
21:09:08.266421 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 286761:291105, ack 1, win 83, options [nop,nop,TS val 4187280533 ecr 273762431], length 4344
21:09:08.266558 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 291105:305585, ack 1, win 83, options [nop,nop,TS val 4187280533 ecr 273762432], length 14480
